Output Of Scenario 0001
Part One: Trip Distribution Origin-Destination Matrix
,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26,Zone27,Zone28,Zone29,Zone30,Zone31,Zone32,Zone33,Zone34,Zone35,Zone36,Zone37,Zone38,Zone39,Zone40,Zone41,Zone42,Zone43,Zone44,Zone45,Zone46,Zone47,Zone48,Zone49,Zone50,Zone51,Zone52,Zone53,Zone54,Zone55,Zone56,Zone57,Zone58,Zone59,Zone60,Zone61,Zone62,Zone63,Zone64,Zone65,Zone66,Zone67,Zone68,Zone69,Zone70,Zone71,Zone72,Zone73,Zone74,Zone75,Zone76,Zone77,Zone78,Zone79,Zone80,Zone81,Zone82,Zone83,Zone84,Zone85,Zone86,Zone87,Zone88,Zone89,Zone90,Zone91,Zone92,Zone93,Zone94,Zone95,Zone96,Zone97,Zone98,Zone99,Zone100,Trip Production Of Each Zone
Zone42,         1,         2,        21,        17,        53,       186,        21,        28,        80,       513,        23,         0,         0,         0,         0,         0,       109,        27,        40,        80,        78,         0,         0,         0,         0,       808,       556,         4,        37,         6,         0,         0,         0,         0,         0,         0,        85,        20,       166,       361,         0,         0,         0,         0,         0,         0,       340,        28,         0,        67,         0,         0,         0,         0,         0,         0,       603,         7,       314,       112,         0,         0,         0,         0,         0,         0,       176,       157,       258,       220,         0,         0,         0,         0,         0,       284,        93,        10,       188,       103,         0,         0,         0,         0,       297,       104,        37,       214,       138,       146,         0,         0,       198,        37,         3,        25,       209,       263,       106,       191,      8251
Zone43,         0,         1,         7,         6,        18,        62,         7,         9,        27,       171,         8,         0,         0,         0,         0,         0,        36,         9,        13,        27,        26,         0,         0,         0,         0,       269,       185,         1,        12,         2,         0,         0,         0,         0,         0,         0,        28,         7,        55,       120,         0,         0,         0,         0,         0,         0,       113,         9,         0,        22,         0,         0,         0,         0,         0,         0,       201,         2,       105,        37,         0,         0,         0,         0,         0,         0,        59,        52,        86,        73,         0,         0,         0,         0,         0,        95,        31,         3,        63,        34,         0,         0,         0,         0,        99,        35,        12,        71,        46,        49,         0,         0,        66,        12,         1,         8,        70,        88,        35,        64,      2750
Zone44,         0,         1,         6,         5,        15,        54,         6,         8,        23,       149,         7,         0,         0,         0,         0,         0,        32,         8,        12,        23,        22,         0,         0,         0,         0,       234,       161,         1,        11,         2,         0,         0,         0,         0,         0,         0,        25,         6,        48,       105,         0,         0,         0,         0,         0,         0,        99,         8,         0,        19,         0,         0,         0,         0,         0,         0,       175,         2,        91,        32,         0,         0,         0,         0,         0,         0,        51,        45,        75,        64,         0,         0,         0,         0,         0,        82,        27,         3,        55,        30,         0,         0,         0,         0,        86,        30,        11,        62,        40,        42,         0,         0,        57,        11,         1,         7,        61,        76,        31,        55,      2392
Zone45,         2,         3,        23,        19,        59,       207,        24,        31,        89,       573,        26,         0,         0,         0,         0,         0,       122,        31,        44,        89,        87,         0,         0,         0,         0,       902,       621,         5,        41,         6,         0,         0,         0,         0,         0,         0,        94,        22,       186,       402,         0,         0,         0,         0,         0,         0,       379,        31,         0,        75,         0,         0,         0,         0,         0,         0,       673,         8,       351,       124,         0,         0,         0,         0,         0,         0,       196,       175,       288,       245,         0,         0,         0,         0,         0,       317,       104,        12,       210,       115,         0,         0,         0,         0,       331,       116,        41,       238,       154,       163,         0,         0,       221,        42,         3,        28,       233,       293,       118,       213,      9208
Zone46,         1,         2,        15,        13,        38,       135,        15,        20,        58,       372,        17,         0,         0,         0,         0,         0,        79,        20,        29,        58,        56,         0,         0,         0,         0,       586,       403,         3,        26,         4,         0,         0,         0,         0,         0,         0,        61,        14,       121,       261,         0,         0,         0,         0,         0,         0,       246,        20,         0,        49,         0,         0,         0,         0,         0,         0,       437,         5,       228,        81,         0,         0,         0,         0,         0,         0,       127,       114,       187,       159,         0,         0,         0,         0,         0,       206,        68,         7,       136,        75,         0,         0,         0,         0,       215,        75,        27,       155,       100,       106,         0,         0,       143,        27,         2,        18,       152,       190,        77,       138,      5979
Zone47,         1,         1,        13,        11,        33,       117,         0,         0,         0,         0,        15,         0,       337,         2,         0,         0,         0,         0,         0,         0,        48,       133,        70,        33,        44,         0,         0,         0,         0,         0,         0,        40,        13,        18,       172,         0,         0,         0,         0,         0,        95,       500,       388,        75,       128,         1,         0,         0,         0,         0,       332,       111,       330,         3,       513,       312,         0,         0,       197,        70,       112,        18,       602,       615,       468,        76,       110,        98,       162,       137,       484,       518,       189,        63,       296,       178,        58,         6,       118,        64,       102,       280,         0,       198,       186,        65,        23,       134,        86,        91,         0,       150,       124,        23,         2,        16,       131,       164,        66,       120,     10489
Zone48,         1,         1,         9,         8,        24,        85,         0,         0,         0,         0,        11,         0,       244,         1,         0,         0,         0,         0,         0,         0,        35,        97,        51,        24,        32,         0,         0,         0,         0,         0,         0,        29,        10,        13,       124,         0,         0,         0,         0,         0,        69,       362,       281,        54,        92,         0,         0,         0,         0,         0,       240,        81,       239,         2,       372,       226,         0,         0,       142,        51,        81,        13,       437,       446,       339,        55,        80,        71,       117,       100,       351,       376,       137,        46,       214,       129,        42,         5,        85,        47,        74,       203,         0,       143,       135,        47,        17,        97,        62,        66,         0,       109,        90,        17,         1,        11,        95,       119,        48,        87,      7601
Zone49,         0,         1,         7,         6,        17,        61,         0,         0,         0,         0,         8,         0,       176,         1,         0,         0,         0,         0,         0,         0,        25,        70,        37,        17,        23,         0,         0,         0,         0,         0,         0,        21,         7,         9,        90,         0,         0,         0,         0,         0,        50,       261,       203,        39,        67,         0,         0,         0,         0,         0,       173,        58,       172,         2,       267,       163,         0,         0,       103,        36,        58,         9,       314,       321,       244,        40,        57,        51,        84,        72,       253,       270,        99,        33,       154,        93,        30,         3,        61,        34,        53,       146,         0,       103,        97,        34,        12,        70,        45,        48,         0,        78,        65,        12,         1,         8,        68,        86,        35,        62,      5472
Zone50,         1,         2,        16,        13,        40,       142,         0,         0,         0,         0,        18,         0,       410,         2,         0,         0,         0,         0,         0,         0,        59,       162,        85,        40,        53,         0,         0,         0,         0,         0,         0,        48,        16,        21,       209,         0,         0,         0,         0,         0,       116,       609,       473,        91,       155,         1,         0,         0,         0,         0,       404,       135,       402,         4,       624,       380,         0,         0,       239,        85,       136,        22,       733,       749,       570,        93,       134,       119,       197,       167,       589,       631,       230,        77,       360,       216,        71,         8,       143,        79,       124,       340,         0,       240,       226,        79,        28,       163,       105,       111,         0,       182,       151,        28,         2,        19,       159,       200,        81,       146,     12769
Zone51,         0,         1,         7,         6,        17,        59,         7,         9,        25,       164,         7,         0,         0,         0,         0,         0,        35,         9,        13,        26,        25,         0,         0,         0,         0,       258,       177,         1,        12,         2,         0,         0,         0,         0,         0,         0,        27,         6,        53,       115,         0,         0,         0,         0,         0,         0,       108,         9,         0,        21,         0,         0,         0,         0,         0,         0,       192,         2,       100,        36,         0,         0,         0,         0,         0,         0,        56,        50,        82,        70,         0,         0,         0,         0,         0,        90,        30,         3,        60,        33,         0,         0,         0,         0,        95,        33,        12,        68,        44,        47,         0,         0,        63,        12,         1,         8,        67,        84,        34,        61,      2631
Zone52,         1,         2,        21,        18,        54,       189,        22,        28,        81,       521,        24,         0,         0,         0,         0,         0,       111,        28,        40,        81,        79,         0,         0,         0,         0,       820,       564,         4,        37,         6,         0,         0,         0,         0,         0,         0,        86,        20,       169,       366,         0,         0,         0,         0,         0,         0,       345,        28,         0,        68,         0,         0,         0,         0,         0,         0,       612,         7,       319,       113,         0,         0,         0,         0,         0,         0,       178,       159,       262,       223,         0,         0,         0,         0,         0,       288,        95,        10,       191,       105,         0,         0,         0,         0,       301,       106,        37,       217,       140,       148,         0,         0,       201,        38,         3,        25,       212,       266,       108,       194,      8371
Zone53,         0,         0,         3,         3,         8,        30,         3,         4,        13,        82,         4,         0,         0,         0,         0,         0,        17,         4,         6,        13,        12,         0,         0,         0,         0,       129,        89,         1,         6,         1,         0,         0,         0,         0,         0,         0,        13,         3,        27,        57,         0,         0,         0,         0,         0,         0,        54,         4,         0,        11,         0,         0,         0,         0,         0,         0,        96,         1,        50,        18,         0,         0,         0,         0,         0,         0,        28,        25,        41,        35,         0,         0,         0,         0,         0,        45,        15,         2,        30,        16,         0,         0,         0,         0,        47,        17,         6,        34,        22,        23,         0,         0,        32,         6,         0,         4,        33,        42,        17,        30,      1315
Zone54,         2,         3,        26,        21,        65,       229,        26,        34,        98,       632,        29,         0,         0,         0,         0,         0,       135,        34,        49,        99,        96,         0,         0,         0,         0,       996,       685,         5,        45,         7,         0,         0,         0,         0,         0,         0,       104,        25,       205,       444,         0,         0,         0,         0,         0,         0,       419,        34,         0,        83,         0,         0,         0,         0,         0,         0,       743,         9,       387,       137,         0,         0,         0,         0,         0,         0,       216,       193,       318,       271,         0,         0,         0,         0,         0,       350,       115,        13,       232,       127,         0,         0,         0,         0,       366,       128,        45,       263,       170,       180,         0,         0,       244,        46,         3,        31,       258,       324,       131,       235,     10164
Zone55,         0,         0,         3,         2,         7,        24,         3,         4,        10,        67,         3,         0,         0,         0,         0,         0,        14,         4,         5,        10,        10,         0,         0,         0,         0,       105,        73,         1,         5,         1,         0,         0,         0,         0,         0,         0,        11,         3,        22,        47,         0,         0,         0,         0,         0,         0,        44,         4,         0,         9,         0,         0,         0,         0,         0,         0,        79,         1,        41,        15,         0,         0,         0,         0,         0,         0,        23,        20,        34,        29,         0,         0,         0,         0,         0,        37,        12,         1,        25,        13,         0,         0,         0,         0,        39,        14,         5,        28,        18,        19,         0,         0,        26,         5,         0,         3,        27,        34,        14,        25,      1076
Zone56,         0,         0,         2,         2,         5,        19,         2,         3,         8,        52,         2,         0,         0,         0,         0,         0,        11,         3,         4,         8,         8,         0,         0,         0,         0,        82,        56,         0,         4,         1,         0,         0,         0,         0,         0,         0,         9,         2,        17,        37,         0,         0,         0,         0,         0,         0,        34,         3,         0,         7,         0,         0,         0,         0,         0,         0,        61,         1,        32,        11,         0,         0,         0,         0,         0,         0,        18,        16,        26,        22,         0,         0,         0,         0,         0,        29,         9,         1,        19,        10,         0,         0,         0,         0,        30,        11,         4,        22,        14,        15,         0,         0,        20,         4,         0,         3,        21,        27,        11,        19,       837
Zone57,         0,         1,         5,         4,        12,        44,         0,         0,         0,         0,         6,         0,       127,         1,         0,         0,         0,         0,         0,         0,        18,        50,        26,        12,        17,         0,         0,         0,         0,         0,         0,        15,         5,         7,        65,         0,         0,         0,         0,         0,        36,       188,       146,        28,        48,         0,         0,         0,         0,         0,       125,        42,       124,         1,       193,       118,         0,         0,        74,        26,        42,         7,       227,       232,       176,        29,        41,        37,        61,        52,       182,       195,        71,        24,       111,        67,        22,         2,        44,        24,        38,       105,         0,        74,        70,        25,         9,        50,        32,        34,         0,        56,        47,         9,         1,         6,        49,        62,        25,        45,      3952
Zone58,         0,         0,         4,         3,        10,        36,         0,         0,         0,         0,         4,         0,       102,         1,         0,         0,         0,         0,         0,         0,        15,        41,        21,        10,        13,         0,         0,         0,         0,         0,         0,        12,         4,         5,        52,         0,         0,         0,         0,         0,        29,       152,       118,        23,        39,         0,         0,         0,         0,         0,       101,        34,       100,         1,       156,        95,         0,         0,        60,        21,        34,         5,       183,       187,       143,        23,        33,        30,        49,        42,       147,       158,        58,        19,        90,        54,        18,         2,        36,        20,        31,        85,         0,        60,        57,        20,         7,        41,        26,        28,         0,        46,        38,         7,         0,         5,        40,        50,        20,        36,      3192
Zone59,         1,         1,         8,         7,        20,        72,         8,        11,        31,       198,         9,         0,       207,         1,         0,         0,        42,        11,        15,        31,        29,        82,        43,        20,        27,       310,       214,         2,        14,         2,         0,        24,         8,        11,       106,       592,        33,         8,        64,       139,        59,       308,       239,        46,        79,         0,       131,        11,         0,        26,       204,        68,       203,         2,       315,       192,       232,         3,         0,         0,        69,        11,       371,       378,       288,        47,         0,         0,         0,         0,       298,       319,       116,        39,       182,         0,         0,         0,         0,         0,        63,       172,         0,       122,         0,         0,         0,         0,         0,         0,         0,        92,         0,         0,         0,         0,         0,         0,         0,         0,      7085
Zone60,         0,         1,         6,         5,        16,        56,         6,         8,        24,       155,         7,         0,       162,         1,         0,         0,        33,         8,        12,        24,        23,        64,        34,        16,        21,       243,       168,         1,        11,         2,         0,        19,         6,         8,        83,       464,        26,         6,        50,       109,        46,       241,       187,        36,        62,         0,       103,         8,         0,        20,       160,        54,       159,         2,       247,       150,       182,         2,         0,         0,        54,         9,       291,       297,       226,        37,         0,         0,         0,         0,       233,       250,        91,        30,       143,         0,         0,         0,         0,         0,        49,       135,         0,        95,         0,         0,         0,         0,         0,         0,         0,        72,         0,         0,         0,         0,         0,         0,         0,         0,      5553
Zone61,         1,         2,        17,        15,        45,       156,        18,        23,        67,       432,        20,         0,         0,         0,         0,         0,        92,        23,        33,        67,        65,         0,         0,         0,         0,       680,       468,         4,        31,         5,         0,         0,         0,         0,         0,         0,        71,        17,       140,       303,         0,         0,         0,         0,         0,         0,       286,        23,         0,        56,         0,         0,         0,         0,         0,         0,       507,         6,       264,        94,         0,         0,         0,         0,         0,         0,       148,       132,       217,       185,         0,         0,         0,         0,         0,       239,        78,         9,       158,        87,         0,         0,         0,         0,       250,        88,        31,       180,       116,       123,         0,         0,       166,        31,         2,        21,       176,       221,        89,       161,      6936
Zone62,         2,         3,        26,        22,        68,       237,        27,        35,       102,       655,        30,         0,         0,         0,         0,         0,       139,        35,        51,       102,        99,         0,         0,         0,         0,      1031,       709,         6,        47,         7,         0,         0,         0,         0,         0,         0,       108,        25,       212,       460,         0,         0,         0,         0,         0,         0,       433,        35,         0,        86,         0,         0,         0,         0,         0,         0,       769,         9,       401,       142,         0,         0,         0,         0,         0,         0,       224,       200,       330,       280,         0,         0,         0,         0,         0,       362,       119,        13,       240,       131,         0,         0,         0,         0,       379,       133,        47,       272,       176,       186,         0,         0,       252,        48,         3,        32,       267,       335,       135,       244,     10523
Zone63,         1,         1,        10,         8,        25,        86,        10,        13,        37,       238,        11,         0,         0,         0,         0,         0,        51,        13,        18,        37,        36,         0,         0,         0,         0,       375,       258,         2,        17,         3,         0,         0,         0,         0,         0,         0,        39,         9,        77,       167,         0,         0,         0,         0,         0,         0,       158,        13,         0,        31,         0,         0,         0,         0,         0,         0,       280,         3,       146,        52,         0,         0,         0,         0,         0,         0,        81,        73,       120,       102,         0,         0,         0,         0,         0,       132,        43,         5,        87,        48,         0,         0,         0,         0,       138,        48,        17,        99,        64,        68,         0,         0,        92,        17,         1,        12,        97,       122,        49,        89,      3827
Zone64,         0,         0,         2,         1,         4,        13,         2,         2,         6,        37,         2,         0,         0,         0,         0,         0,         8,         2,         3,         6,         6,         0,         0,         0,         0,        59,        40,         0,         3,         0,         0,         0,         0,         0,         0,         0,         6,         1,        12,        26,         0,         0,         0,         0,         0,         0,        25,         2,         0,         5,         0,         0,         0,         0,         0,         0,        44,         1,        23,         8,         0,         0,         0,         0,         0,         0,        13,        11,        19,        16,         0,         0,         0,         0,         0,        21,         7,         1,        14,         7,         0,         0,         0,         0,        22,         8,         3,        15,        10,        11,         0,         0,        14,         3,         0,         2,        15,        19,         8,        14,       598
Zone65,         1,         1,        13,        11,        34,       119,        14,        18,        51,       327,        15,         0,         0,         0,         0,         0,        70,        18,        25,        51,        49,         0,         0,         0,         0,       516,       355,         3,        23,         4,         0,         0,         0,         0,         0,         0,        54,        13,       106,       230,         0,         0,         0,         0,         0,         0,       217,        18,         0,        43,         0,         0,         0,         0,         0,         0,       384,         4,       200,        71,         0,         0,         0,         0,         0,         0,       112,       100,       165,       140,         0,         0,         0,         0,         0,       181,        59,         7,       120,        66,         0,         0,         0,         0,       189,        66,        24,       136,        88,        93,         0,         0,       126,        24,         2,        16,       133,       168,        68,       122,      5262
Zone66,         1,         2,        16,        14,        41,       146,        17,        22,        63,       402,        18,         0,         0,         0,         0,         0,        86,        21,        31,        63,        61,         0,         0,         0,         0,       633,       435,         3,        29,         4,         0,         0,         0,         0,         0,         0,        66,        16,       130,       282,         0,         0,         0,         0,         0,         0,       266,        22,         0,        52,         0,         0,         0,         0,         0,         0,       472,         5,       246,        87,         0,         0,         0,         0,         0,         0,       137,       123,       202,       172,         0,         0,         0,         0,         0,       222,        73,         8,       147,        81,         0,         0,         0,         0,       232,        82,        29,       167,       108,       114,         0,         0,       155,        29,         2,        20,       164,       206,        83,       150,      6457
Zone67,         0,         0,         3,         2,         7,        25,         3,         4,        11,        69,         3,         0,        73,         0,         0,         0,        15,         4,         5,        11,        10,        29,        15,         7,         9,       109,        75,         1,         5,         1,         0,         9,         3,         4,        37,       208,        11,         3,        23,        49,        21,       108,        84,        16,        28,         0,        46,         4,         0,         9,        72,        24,        71,         1,       111,        67,        82,         1,         0,         0,        24,         4,       130,       133,       101,        16,         0,         0,         0,         0,       105,       112,        41,        14,        64,         0,         0,         0,         0,         0,        22,        60,         0,        43,         0,         0,         0,         0,         0,         0,         0,        32,         0,         0,         0,         0,         0,         0,         0,         0,      2489
Zone68,         0,         1,         5,         4,        12,        44,         5,         6,        19,       120,         5,         0,       126,         1,         0,         0,        26,         6,         9,        19,        18,        50,        26,        12,        16,       189,       130,         1,         9,         1,         0,        15,         5,         7,        64,       360,        20,         5,        39,        84,        36,       187,       145,        28,        48,         0,        80,         7,         0,        16,       124,        42,       124,         1,       192,       117,       141,         2,         0,         0,        42,         7,       225,       230,       175,        28,         0,         0,         0,         0,       181,       194,        71,        24,       111,         0,         0,         0,         0,         0,        38,       105,         0,        74,         0,         0,         0,         0,         0,         0,         0,        56,         0,         0,         0,         0,         0,         0,         0,         0,      4308
Zone69,         0,         0,         4,         3,         9,        32,         4,         5,        14,        88,         4,         0,        92,         1,         0,         0,        19,         5,         7,        14,        13,        37,        19,         9,        12,       138,        96,         1,         6,         1,         0,        11,         4,         5,        47,       264,        15,         3,        29,        62,        26,       137,       107,        21,        35,         0,        58,         5,         0,        12,        91,        31,        91,         1,       141,        86,       104,         1,         0,         0,        31,         5,       165,       169,       129,        21,         0,         0,         0,         0,       133,       142,        52,        17,        81,         0,         0,         0,         0,         0,        28,        77,         0,        54,         0,         0,         0,         0,         0,         0,         0,        41,         0,         0,         0,         0,         0,         0,         0,         0,      3159
Zone70,         0,         0,         4,         3,        10,        34,         4,         5,        15,        93,         4,         0,        98,         1,         0,         0,        20,         5,         7,        15,        14,        39,        20,        10,        13,       147,       101,         1,         7,         1,         0,        12,         4,         5,        50,       280,        15,         4,        30,        66,        28,       146,       113,        22,        37,         0,        62,         5,         0,        12,        97,        32,        96,         1,       149,        91,       110,         1,         0,         0,        33,         5,       175,       179,       136,        22,         0,         0,         0,         0,       141,       151,        55,        18,        86,         0,         0,         0,         0,         0,        30,        81,         0,        57,         0,         0,         0,         0,         0,         0,         0,        44,         0,         0,         0,         0,         0,         0,         0,         0,      3351
Zone71,         2,         3,        25,        21,        63,       221,        25,        33,        95,       610,        28,         0,         0,         0,         0,         0,       130,        33,        47,        95,        92,         0,         0,         0,         0,       961,       661,         5,        43,         7,         0,         0,         0,         0,         0,         0,       100,        24,       198,       429,         0,         0,         0,         0,         0,         0,       404,        33,         0,        80,         0,         0,         0,         0,         0,         0,       716,         8,       373,       133,         0,         0,         0,         0,         0,         0,       209,       186,       307,       261,         0,         0,         0,         0,         0,       337,       111,        12,       224,       122,         0,         0,         0,         0,       353,       124,        44,       254,       164,       173,         0,         0,       235,        44,         3,        30,       249,       312,       126,       227,      9806
Zone72,         1,         1,         7,         6,        18,        65,         7,        10,        28,       179,         8,         0,         0,         0,         0,         0,        38,        10,        14,        28,        27,         0,         0,         0,         0,       281,       193,         2,        13,         2,         0,         0,         0,         0,         0,         0,        29,         7,        58,       125,         0,         0,         0,         0,         0,         0,       118,        10,         0,        23,         0,         0,         0,         0,         0,         0,       210,         2,       109,        39,         0,         0,         0,         0,         0,         0,        61,        54,        90,        76,         0,         0,         0,         0,         0,        99,        32,         4,        65,        36,         0,         0,         0,         0,       103,        36,        13,        74,        48,        51,         0,         0,        69,        13,         1,         9,        73,        91,        37,        66,      2870
Zone73,         2,         3,        26,        22,        66,       232,        27,        34,       100,       640,        29,         0,         0,         0,         0,         0,       136,        34,        50,       100,        97,         0,         0,         0,         0,      1008,       693,         5,        46,         7,         0,         0,         0,         0,         0,         0,       105,        25,       207,       450,         0,         0,         0,         0,         0,         0,       424,        35,         0,        84,         0,         0,         0,         0,         0,         0,       751,         9,       392,       139,         0,         0,         0,         0,         0,         0,       219,       195,       322,       274,         0,         0,         0,         0,         0,       354,       116,        13,       235,       128,         0,         0,         0,         0,       370,       130,        46,       266,       172,       182,         0,         0,       247,        47,         3,        31,       261,       327,       132,       238,     10284
Zone74,         0,         0,         0,         0,         1,         3,         0,         0,         1,         7,         0,         0,         0,         0,         0,         0,         2,         0,         1,         1,         1,         0,         0,         0,         0,        12,         8,         0,         1,         0,         0,         0,         0,         0,         0,         0,         1,         0,         2,         5,         0,         0,         0,         0,         0,         0,         5,         0,         0,         1,         0,         0,         0,         0,         0,         0,         9,         0,         5,         2,         0,         0,         0,         0,         0,         0,         3,         2,         4,         3,         0,         0,         0,         0,         0,         4,         1,         0,         3,         1,         0,         0,         0,         0,         4,         2,         1,         3,         2,         2,         0,         0,         3,         1,         0,         0,         3,         4,         2,         3,       120
Zone75,         1,         1,        12,        10,        31,       108,        12,        16,        46,       298,        14,         0,         0,         0,         0,         0,        63,        16,        23,        46,        45,         0,         0,         0,         0,       469,       322,         3,        21,         3,         0,         0,         0,         0,         0,         0,        49,        12,        96,       209,         0,         0,         0,         0,         0,         0,       197,        16,         0,        39,         0,         0,         0,         0,         0,         0,       350,         4,       182,        65,         0,         0,         0,         0,         0,         0,       102,        91,       150,       127,         0,         0,         0,         0,         0,       165,        54,         6,       109,        60,         0,         0,         0,         0,       172,        60,        21,       124,        80,        85,         0,         0,       115,        22,         2,        15,       121,       152,        62,       111,      4783
Zone76,         0,         0,         3,         3,         8,        29,         3,         4,        12,        80,         4,         0,        84,         1,         0,         0,        17,         4,         6,        13,        12,        33,        18,         8,        11,       126,        87,         1,         6,         1,         0,        10,         3,         4,        43,       240,        13,         3,        26,        56,        24,       125,        97,        19,        32,         0,        53,         4,         0,        10,        83,        28,        82,         1,       128,        78,        94,         1,         0,         0,        28,         4,       150,       153,       117,        19,         0,         0,         0,         0,       121,       129,        47,        16,        74,         0,         0,         0,         0,         0,        25,        70,         0,        49,         0,         0,         0,         0,         0,         0,         0,        37,         0,         0,         0,         0,         0,         0,         0,         0,      2872
Zone77,         0,         1,         6,         5,        16,        58,         7,         9,        25,       160,         7,         0,       168,         1,         0,         0,        34,         9,        12,        25,        24,        67,        35,        16,        22,       252,       174,         1,        11,         2,         0,        20,         7,         9,        86,       480,        26,         6,        52,       113,        47,       249,       194,        37,        64,         0,       106,         9,         0,        21,       166,        55,       165,         2,       256,       156,       188,         2,         0,         0,        56,         9,       301,       307,       234,        38,         0,         0,         0,         0,       241,       259,        94,        31,       148,         0,         0,         0,         0,         0,        51,       139,         0,        99,         0,         0,         0,         0,         0,         0,         0,        75,         0,         0,         0,         0,         0,         0,         0,         0,      5744
Zone78,         0,         1,         6,         5,        16,        57,         7,         8,        25,       158,         7,         0,       165,         1,         0,         0,        34,         8,        12,        25,        23,        65,        34,        16,        22,       247,       171,         1,        11,         2,         0,        19,         7,         9,        84,       472,        26,         6,        51,       111,        47,       245,       190,        37,        63,         0,       104,         9,         0,        21,       163,        55,       162,         2,       252,       153,       185,         2,         0,         0,        55,         9,       296,       302,       230,        37,         0,         0,         0,         0,       237,       254,        93,        31,       145,         0,         0,         0,         0,         0,        50,       137,         0,        97,         0,         0,         0,         0,         0,         0,         0,        73,         0,         0,         0,         0,         0,         0,         0,         0,      5649
Zone79,         1,         1,         9,         8,        23,        82,         9,        12,        35,       227,        10,         0,       238,         1,         0,         0,        48,        12,        18,        35,        34,        94,        50,        23,        31,       356,       246,         2,        16,         2,         0,        28,        10,        12,       121,       680,        37,         9,        74,       159,        67,       353,       274,        53,        90,         0,       150,        12,         0,        30,       235,        79,       233,         2,       362,       220,       267,         3,         0,         0,        79,        13,       426,       435,       331,        54,         0,         0,         0,         0,       342,       366,       134,        45,       209,         0,         0,         0,         0,         0,        72,       198,         0,       140,         0,         0,         0,         0,         0,         0,         0,       106,         0,         0,         0,         0,         0,         0,         0,         0,      8138
Zone80,         0,         0,         2,         2,         5,        19,         2,         3,         8,        53,         2,         0,        56,         0,         0,         0,        11,         3,         4,         8,         8,        22,        12,         5,         7,        84,        58,         0,         4,         1,         0,         7,         2,         3,        29,       160,         9,         2,        17,        38,        16,        83,        65,        12,        21,         0,        35,         3,         0,         7,        55,        18,        55,         1,        85,        52,        63,         1,         0,         0,        19,         3,       100,       102,        78,        13,         0,         0,         0,         0,        80,        86,        31,        10,        49,         0,         0,         0,         0,         0,        17,        46,         0,        33,         0,         0,         0,         0,         0,         0,         0,        25,         0,         0,         0,         0,         0,         0,         0,         0,      1915
Zone81,         1,         2,        20,        17,        51,       181,        21,        27,        78,       499,        23,         0,         0,         0,         0,         0,       106,        27,        39,        78,        75,         0,         0,         0,         0,       785,       540,         4,        35,         5,         0,         0,         0,         0,         0,         0,        82,        19,       162,       350,         0,         0,         0,         0,         0,         0,       330,        27,         0,        65,         0,         0,         0,         0,         0,         0,       585,         7,       305,       108,         0,         0,         0,         0,         0,         0,       171,       152,       251,       213,         0,         0,         0,         0,         0,       276,        91,        10,       183,       100,         0,         0,         0,         0,       288,       101,        36,       207,       134,       142,         0,         0,       192,        36,         3,        24,       203,       255,       103,       186,      8012
Zone82,         2,         3,        27,        23,        69,       243,        28,        36,       104,       670,        31,         0,         0,         0,         0,         0,       143,        36,        52,       105,       101,         0,         0,         0,         0,      1054,       726,         6,        48,         7,         0,         0,         0,         0,         0,         0,       110,        26,       217,       470,         0,         0,         0,         0,         0,         0,       443,        36,         0,        87,         0,         0,         0,         0,         0,         0,       786,         9,       410,       145,         0,         0,         0,         0,         0,         0,       229,       204,       337,       286,         0,         0,         0,         0,         0,       370,       122,        13,       246,       134,         0,         0,         0,         0,       387,       136,        48,       279,       180,       190,         0,         0,       258,        49,         3,        33,       273,       343,       138,       249,     10762
Zone83,         1,         2,        21,        18,        54,       189,        22,        28,        81,       521,        24,         0,         0,         0,         0,         0,       111,        28,        40,        81,        79,         0,         0,         0,         0,       820,       564,         4,        37,         6,         0,         0,         0,         0,         0,         0,        86,        20,       169,       366,         0,         0,         0,         0,         0,         0,       345,        28,         0,        68,         0,         0,         0,         0,         0,         0,       612,         7,       319,       113,         0,         0,         0,         0,         0,         0,       178,       159,       262,       223,         0,         0,         0,         0,         0,       288,        95,        10,       191,       105,         0,         0,         0,         0,       301,       106,        37,       217,       140,       148,         0,         0,       201,        38,         3,        25,       212,       266,       108,       194,      8371
Zone84,         1,         2,        15,        13,        39,       137,        16,        20,        59,       379,        17,         0,         0,         0,         0,         0,        81,        20,        29,        59,        57,         0,         0,         0,         0,       598,       411,         3,        27,         4,         0,         0,         0,         0,         0,         0,        62,        15,       123,       267,         0,         0,         0,         0,         0,         0,       251,        21,         0,        50,         0,         0,         0,         0,         0,         0,       446,         5,       232,        82,         0,         0,         0,         0,         0,         0,       130,       116,       191,       162,         0,         0,         0,         0,         0,       210,        69,         8,       139,        76,         0,         0,         0,         0,       219,        77,        27,       158,       102,       108,         0,         0,       146,        28,         2,        19,       155,       194,        78,       141,      6099
